ID,aCO2-1,aCO2-2,aCO2-3,aCO2-4,aCO2-5,aCO2-6,eCO2-1,eCO2-2,eCO2-3,eCO2-4,eCO2-5,eCO2-6
Protozoa_ASV939,0.001575705,0.000572984,0,0.001575705,0.000286492,0,0.000286492,0.001002722,0.000143246,0.000859476,0.001289214,0.001862197
Protozoa_ASV136,0.007735281,0.007878527,0.003008165,0.010456955,0.005443346,0.003294657,0.00601633,0.001289214,0.003724395,0.004870362,0.003581149,0.002578427
Protozoa_ASV1389,0,0.015900301,0,0,0,0,0.009454233,0.003151411,0.006302822,0,0.010313709,0
Protozoa_ASV948,0.002005443,0,0,0.001289214,0,0.001718951,0.002005443,0.004440625,0,0.001575705,0.001862197,0.004870362
Protozoa_ASV890,0,0,0,0.002148689,0,0.000429738,0,0,0,0,0.00071623,0.001575705
Protozoa_ASV142,0,0.00673256,0.002721673,0.004870362,0.002578427,0.001145968,0,0.004010887,0.002721673,0.002864919,0.002435181,0.003008165
Protozoa_ASV495,0,0,0.000429738,0,0.000286492,0,0,0,0,0.001575705,0.001575705,0.000572984
Protozoa_ASV484,0.002148689,0.000143246,0.000572984,0,0.00143246,0,0.000429738,0,0.000286492,0.000286492,0,0.000286492
Protozoa_ASV286,0,0,0.001145968,0,0,0,0,0,0.001145968,0,0.001575705,0.002148689
Protozoa_ASV1201,0,0,0,0.000286492,0.001002722,0,0,0,0.00143246,0.001145968,0,0
Protozoa_ASV296,0,0,0.001002722,0,0,0,0.00143246,0,0,0,0.000572984,0
Protozoa_ASV278,0.001862197,0.002291935,0.001575705,0.002721673,0.003581149,0.000859476,0.004583871,0.001718951,0.004297379,0.002435181,0.002864919,0
Protozoa_ASV369,0,0.001862197,0.001575705,0,0,0,0,0,0,0,0.002005443,0
Protozoa_ASV852,0.008308265,0.007878527,0,0.005586592,0.006159576,0.002005443,0,0.012175906,0.011459676,0.00673256,0.007305544,0
Protozoa_ASV1649,0,0.001002722,0,0,0.000429738,0,0,0.000143246,0,0,0.000859476,0.001862197
Protozoa_ASV424,0,0,0.000429738,0.001002722,0.000143246,0,0,0.000859476,0,0,0.002435181,0
Protozoa_ASV118,0.001145968,0.000859476,0.003294657,0.003294657,0,0,0,0.000286492,0.000572984,0,0.001575705,0.002721673
Protozoa_ASV1558,0.001002722,0.001289214,0,0,0,0,0,0.000429738,0.000286492,0,0,0
Protozoa_ASV43,0.006302822,0.007735281,0.010600201,0.007592036,0.006589314,0.003437903,0.008881249,0.003437903,0.009883971,0.001862197,0.00673256,0.006302822
Protozoa_ASV60,0,0,0.00744879,0.008881249,0,0.001862197,0.00601633,0,0.002864919,0.006875806,0.005729838,0.001718951
Protozoa_ASV3283,0,0,0,0,0,0.001145968,0,0,0,0,0.001575705,0.002148689
Protozoa_ASV232,0,0.002291935,0.002291935,0,0.002864919,0,0.00143246,0.002721673,0,0,0.003294657,0
Protozoa_ASV184,0.000572984,0.001289214,0.002721673,0.002578427,0.002578427,0.001145968,0.002005443,0,0.002578427,0.001718951,0.001718951,0.002435181
Protozoa_ASV267,0.001862197,0.004583871,0.001145968,0.000859476,0.001575705,0.00071623,0,0.002578427,0.002291935,0.001862197,0.001145968,0.001289214
Protozoa_ASV2607,0,0.004870362,0,0,0,0.002005443,0.001145968,0,0.004440625,0,0.002005443,0.001002722
Protozoa_ASV86,0,0.006446068,0.004583871,0,0.00143246,0.00143246,0.003581149,0.004870362,0.005443346,0.006446068,0.003867641,0.015613809
Protozoa_ASV225,0,0,0.002435181,0.002721673,0,0,0.001575705,0,0.002148689,0.002291935,0.003008165,0
Protozoa_ASV73,0.010170463,0.007305544,0.006446068,0.007305544,0.007592036,0.002148689,0.005156854,0.008738003,0.012462398,0.00673256,0.011173184,0.005156854
Protozoa_ASV1478,0,0.000429738,0,0,0,0,0,0.000572984,0,0,0,0.002291935
Protozoa_ASV1065,0,0.002005443,0,0.00071623,0,0,0.00071623,0,0,0,0,0
Protozoa_ASV899,0.00143246,0.00071623,0,0.002005443,0,0,0.000286492,0,0,0.001145968,0,0
Protozoa_ASV1182,0,0.000429738,0,0,0.002864919,0.000286492,0,0,0,0,0,0
Protozoa_ASV78,0.004583871,0.002005443,0.005586592,0,0.001575705,0.006159576,0,0,0.002148689,0.008738003,0.004154133,0
Protozoa_ASV7,0.024638304,0.024208566,0.02549778,0.022059877,0.025354534,0.009310987,0.026357255,0.026500501,0.036957456,0.021486893,0.022776107,0.013035382
Protozoa_ASV10,0.026357255,0.032087094,0.027216731,0.029795158,0.030511388,0.011746168,0.027216731,0.044549491,0.042544048,0.014467841,0.033806045,0.02334909
Protozoa_ASV1012,0,0.001145968,0,0.00071623,0.000572984,0.000286492,0.000286492,0.002291935,0.001002722,0.00071623,0.001718951,0
Protozoa_ASV56,0.021773385,0.010600201,0.006446068,0.01203266,0.005873084,0.015184071,0.008881249,0.006875806,0.006159576,0.006159576,0.008594757,0.050565822
Protozoa_ASV23,0.006446068,0.011746168,0.010886692,0.014611087,0.01131643,0.007305544,0.009883971,0.01203266,0.012605644,0.011459676,0.013751612,0.009024495
Protozoa_ASV2257,0.009883971,0,0,0,0,0,0.003437903,0,0,0,0.003008165,0
Protozoa_ASV1930,0,0,0,0,0.000859476,0.000286492,0,0,0,0,0.001002722,0.001289214
Protozoa_ASV11,0.026070764,0.023922074,0.022203123,0.023205844,0.014611087,0.009740725,0.028362699,0.010313709,0.014611087,0.02406532,0.015900301,0.031084372
Protozoa_ASV137,0.009454233,0.003867641,0.003581149,0.009167741,0.001575705,0.007592036,0.008308265,0.001862197,0.004154133,0.003008165,0.005729838,0.006302822
Protozoa_ASV152,0,0.00601633,0.003151411,0.004010887,0.003581149,0.001862197,0,0.003581149,0.003437903,0.002578427,0.003581149,0.001575705
Protozoa_ASV2386,0.000859476,0,0,0,0,0.000859476,0.00143246,0,0,0,0,0
Protozoa_ASV1530,0,0,0,0,0.000859476,0.000286492,0.00071623,0.00071623,0,0,0,0.000429738
Protozoa_ASV48,0.002148689,0.004297379,0.008308265,0.003008165,0.006302822,0.003008165,0,0.003581149,0.004870362,0.007305544,0.004010887,0.002578427
